Establishment,Address,City,Inspection Date,Priority Violations,Priority Foundation Violations,Core Violations
ABE'S CONEY ISLAND RESTAURANT,402 W. MICHIGAN AVENUE,YPSILANTI,08/05/2014,1,0,6
"ALLEY, THE     (KATIE'S)",2830 BAKER ROAD,DEXTER,08/27/2014,0,0,3
AMADEUS CAFE,122 E. WASHINGTON,ANN ARBOR,08/19/2014,3,1,3
ANGELO'S LUNCH,1100 E. CATHERINE,ANN ARBOR,08/04/2014,1,0,4
ANGELO'S ON THE SIDE,1100 E. CATHERINE,ANN ARBOR,08/04/2014,2,0,1
ANTHONY'S GOURMET PIZZA,621 SOUTH MAIN ST,ANN ARBOR,08/25/2014,0,0,0
AUBREE'S SALOON,39 E. CROSS STREET,YPSILANTI,08/14/2014,0,3,8
AVENTURA,216 E WASHINGTON,ANN ARBOR,08/05/2014,0,1,2
B 24's,217 W. MICHIGAN AVENUE,YPSILANTI,08/13/2014,2,1,1
B-24'S FLY BY CAFE',5577 WHITTAKER RD,YPSILANTI,08/22/2014,1,1,2
BANDITO'S,216 S. FOURTH AVENUE,ANN ARBOR,08/11/2014,0,1,1
BANG'KOK CUISINE EXPRESS #3 INC. ,4119 STONE SCHOOL RD,ANN ARBOR,08/22/2014,3,4,7
"BARNES & NOBLE BOOKSELLERS, INC",3235 WASHTENAW,ANN ARBOR,08/26/2014,0,0,2
BEARCLAW COFFEE CO.,9188 N. TERRITORIAL ROAD,DEXTER,08/22/2014,0,0,3
BELL TOWER HOTEL,300 S THAYER,ANN ARBOR,08/04/2014,0,1,1
BIGGBY COFFEE,3980 PLATT RD STE A,ANN ARBOR,08/28/2014,1,1,7
BIGGBY COFFEE,1741 PLYMOUTH RD.,ANN ARBOR,08/15/2014,3,1,7
BIGGBY COFFEE,539 E. LIBERTY ST,ANN ARBOR,08/27/2014,2,3,9
"BRAE-BURN TAVERN, INC",10860 FIVE MILE ROAD,PLYMOUTH,08/26/2014,0,1,2
BRECON VILLAGE,200 BRECON DRIVE,SALINE,08/22/2014,2,1,5
BRECON VILLAGE COUNTRY STORE,200 BRECON DRIVE,SALINE,08/22/2014,0,0,2
BROWN JUG RESTAURANT,1204 S. UNIVERSITY,ANN ARBOR,08/10/2014,0,0,2
BTB (BIG TEN BURRITO),810 S. STATE STREET,ANN ARBOR,08/25/2014,0,0,2
BTB CANTINA (BIG TEN BURRITO CANTINA),1140 S. UNIVERSITY (2ND FLOOR),ANN ARBOR,08/26/2014,0,0,1
BUFFALO WILD WINGS,205 S. STATE STREET,ANN ARBOR,08/13/2014,0,0,5
BUFFALO WILD WINGS,216 JAMES L. HART PARKWAY,YPSILANTI,08/12/2014,0,1,6
