Establishment,Address,City,Inspection Date,Priority Violations,Priority Foundation Violations,Core Violations
ALPHA CONEY ISLAND,7049 DEXTER-ANN ARBOR ROAD,DEXTER,12/11/2014,3,0,5
AMERICAN LEGION POST 557,8225 DEXTER-CHELSEA,DEXTER,12/11/2014,1,0,2
AMER'S,312 S. STATE STREET,ANN ARBOR,12/01/2014,4,1,11
ANN ARBOR COMEDY SHOWCASE,"212 S FOURTH AVE, STE A",ANN ARBOR,12/04/2014,0,0,1
ANN ARBOR EAGLE #2154,7881 JACKSON RD,ANN ARBOR,12/12/2014,0,0,1
ARCTIC BREAKWAY,501 COLISEUM DR.,CHELSEA,12/03/2014,1,1,4
ASIAN LEGEND INC,516 E. WILLIAM,ANN ARBOR,12/15/2014,2,3,9
AUBREE'S PIZZERA & TAVERN,2120 - 2122 WHITTAKER ROAD,YPSILANTI,12/02/2014,1,0,1
AUT BAR,315 BRAUN COURT,ANN ARBOR,12/18/2014,2,1,3
AYAKA,1205 S. UNIVERSITY,ANN ARBOR,12/15/2014,0,0,2
BEEZY'S LLC,20 N. WASHINGTON ST. ,YPSILANTI,12/19/2014,2,2,7
BENITO'S PIZZA,100 S. ANN ARBOR STREET,SALINE,12/02/2014,0,1,7
BENNY'S FAMILY DINING,1952 S. INDUSTRIAL HIGHWAY,ANN ARBOR,12/10/2014,0,1,0
BIG BOY,3611 PLYMOUTH ROAD,ANN ARBOR,12/16/2014,3,1,8
BIG BOY RESTAURANT #386,497 N. ZEEB RD.,ANN ARBOR,12/05/2014,2,3,5
BIWAKO SUSHI,1355 E. MICHIGAN AVENUE,SALINE,12/02/2014,2,0,4
BLUE LEPRECHAUN,"1220 S. UNIVERSITY, SUITE 109",ANN ARBOR,12/11/2014,1,2,1
BOBBER DOWN,8475 MAIN STREET,WHITMORE LAKE,12/15/2014,4,1,1
BREAD BASKET DELI,4003 CARPENTER ROAD,YPSILANTI,12/17/2014,0,0,3
BURGER KING #889,2170 RAWSONVILLE ROAD,BELLEVILLE,12/17/2014,0,0,4
CAFE MARIE,1759 PLYMOUTH ROAD,ANN ARBOR,12/10/2014,3,2,6
CANCUN MEXICAN GRILL,405 E. MICHIGAN AVENUE,SALINE,12/03/2014,2,2,7
CARDAMOM RESTAURANT,1739 PLYMOUTH RD.,ANN ARBOR,12/09/2014,1,2,6
CARSON'S AMERICAN BISTRO,2000 COMMOMWEALTH BLVD,ANN ARBOR,12/04/2014,3,1,2
CELEBRATION CELLARS,210 S. FIRST STREET,ANN ARBOR,12/04/2014,1,0,1
CHEF RESTAURANT MEDITERRANEAN CUISINE,1098 HURON RIVER DRIVE,YPSILANTI,12/09/2014,0,0,4
CHELSEA GRILL,1120 S. MAIN STREET,CHELSEA,12/17/2014,0,1,4
CHIA SHIANG RESTAURANT,2016 PACKARD,ANN ARBOR,12/11/2014,9,4,11
CLEARY'S PUB,113 S. MAIN STREET,CHELSEA,12/16/2014,4,1,14
COLD STONE CREAMERY,3597-B WASHTENAW,ANN ARBOR,12/17/2014,0,0,6
COURTYARD BY MARRIOTT ANN ARBOR,3205 BOARDWALK,ANN ARBOR,12/04/2014,2,0,5
DCH CATERING,223 E.  MAIN STREET,MANCHESTER,12/04/2014,1,3,4
DEXTER KNIGHTS OF COLUMBUS,8265 DEXTER-CHELSEA,DEXTER,12/19/2014,2,2,2
DOMINO'S PIZZA #1101 / T & R PIZZA,953 WASHTENAW AVE.,YPSILANTI,12/11/2014,1,1,9
DOMINO'S PIZZA #1108,2121 S. GROVE ROAD,YPSILANTI,12/17/2014,1,0,6
EMMANUAL LUTHERAN CHURCH,201 N. RIVER STREET,YPSILANTI,12/01/2014,0,0,2
ESPRESSO ROYALE,2603 PLYMOUTH ROAD,ANN ARBOR,12/10/2014,2,0,6
"FAMILY CHICKEN, INC.",510 W. MICHIGAN AVENUE,YPSILANTI,12/10/2014,9,3,10
FIRST PRESBYTERIAN CHURCH,300 N. WASHINGTON,YPSILANTI,12/01/2014,0,0,1
FOOD GATHERERS - OZONE DROP IN,102 N. HAMILTON,YPSILANTI,12/15/2014,0,0,0
FRASER'S PUB,2045 PACKARD,ANN ARBOR,12/22/2014,0,0,7
GENESIS OF ANN ARBOR,2309 PACKARD,ANN ARBOR,12/29/2014,0,0,1
GLAZIER COMMONS @ CRC,805 W MIDDLE ST,CHELSEA,12/03/2014,0,0,0
GOLDEN FOX CLUBHOUSE,8500 N. TERRITORIAL ROAD,PLYMOUTH,12/02/2014,3,1,4
HILTON GARDEN INN ANN ARBOR,1401 BRIARWOOD CIRCLE DR,ANN ARBOR,12/30/2014,0,1,6
HUNGRY HOWIE'S,215 S. FORD BLVD,YPSILANTI,12/18/2014,0,0,4
HUNGRY HOWIES #00072,3365 WASHTENAW AVE STE J,ANN ARBOR,12/18/2014,1,2,2
HURON VALLEY TENNIS CLUB,3235 CHERRY HILL/BOX,ANN ARBOR,12/18/2014,0,0,0
INSOMNIA COOKIES,1229 S UNIVERSITY AVE,ANN ARBOR,12/11/2014,0,0,2
ISALITA,339 E LIBERTY ST,ANN ARBOR,12/04/2014,0,0,2
JAZZY VEGGIE,108 S. MAIN STREET,ANN ARBOR,12/22/2014,1,1,4
JD'S PIZZA AND GRINDERS LLC,5561 CARPENTER ROAD,YPSILANTI,12/16/2014,1,0,8
JERSEY MIKE'S,3650 CARPENTER RD STE F,YPSILANTI,12/02/2014,1,0,6
JIMMY JOHN'S,929 E. ANN STREET,ANN ARBOR,12/01/2014,2,0,6
JOE  AND ROSIE,8074 MAIN STREET,DEXTER,12/17/2014,2,1,0
KING SHING INC,2865 CARPENTER ROAD,ANN ARBOR,12/09/2014,1,1,5
"KIWANIS CLUB OF ANN ARBOR, FOUNDATION",200 S. FIRST STREET,ANN ARBOR,12/15/2014,3,1,1
LI'S CHINA ONE,1047 EMERICK ST,YPSILANTI,12/18/2014,1,3,8
LITTLE CAESAR'S PIZZA,1783 WASHTENAW,YPSILANTI,12/22/2014,0,1,5
LITTLE CEASARS PIZZA,2715 PLYMOUTH ROAD,ANN ARBOR,12/18/2014,2,0,3
LOYAL ORDER OF THE MOOSE #1253-ANN ARBOR,10160 JACKSON RD,CHELSEA,12/08/2014,1,1,4
MANCHESTER ATHLETIC BOOSTER - GYM,20500 DUTCH DR.,MANCHESTER,12/18/2014,0,0,0
MANCINO'S PIZZA & GRINDERS OF SCIO,355 S. ZEEB RD.,ANN ARBOR,12/19/2014,1,0,0
"MAPLEWOOD LANES, INC.",830 E. WOODLAWN DRIVE,SALINE,12/04/2014,0,0,3
MARCO'S PIZZA #43,1154 DEXTER STREET,MILAN,12/23/2014,1,0,6
MARNEE THAI ,414 S. MAIN ST. SUITE 130,ANN ARBOR,12/05/2014,2,0,8
MARY'S FABULOUS CHICKEN,3220 PACKARD,ANN ARBOR,12/08/2014,0,0,7
McDONALD'S,1177 DEXTER STREET,MILAN,12/12/2014,0,0,11
MCDONALD'S,16 ECORSE ROAD,YPSILANTI,12/12/2014,0,0,4
MCDONALD'S # 33298,3325 WASHTENAW AVE,ANN ARBOR,12/18/2014,0,0,4
MCDONALD'S #7010,3752 S. STATE ST.,ANN ARBOR,12/18/2014,1,0,10
MEZZEVINO,120 E. LIBERTY,ANN ARBOR,12/03/2014,4,0,2
MICHIGAN COMMUNITY THEATER,603 E. LIBERTY,ANN ARBOR,12/04/2014,0,1,2
MOE'S SOUTHWEST GRILL,857 W. EISENHOWER PARKWAY,ANN ARBOR,12/16/2014,2,1,7
MOVE,"3780 JACKSON RD, STE K",ANN ARBOR,12/08/2014,0,1,1
"MOVEABLE FEAST CATERING BAKERY, THE",327 W. MAIN ST.,MANCHESTER,12/04/2014,2,1,2
MR. PIZZA,1484 WASHTENAW,YPSILANTI,12/16/2014,0,1,6
NECTO,516 E. LIBERTY,ANN ARBOR,12/03/2014,0,0,2
NEOPAPALIS OF ANN ARBOR LLC,500 E WILLIAM ST,ANN ARBOR,12/01/2014,2,0,2
NU WAVE FISH & CHICKEN,1800 E. MICHIGAN AVENUE,YPSILANTI,12/29/2014,0,2,5
PALIO'S/QUALITY BAR,347 S. MAIN STREET,ANN ARBOR,12/11/2014,2,2,5
PAPA JOHN'S PIZZA,3397 PLYMOUTH RD,ANN ARBOR,12/09/2014,0,2,2
PASTRY PEDDLER BAKERY & CAFE,619 PACKARD,ANN ARBOR,12/11/2014,0,0,1
PITA KING,2412 E. STADIUM BLVD.,ANN ARBOR,12/12/2014,0,0,0
QUALITY 16 THEATRES,3686 JACKSON ROAD,ANN ARBOR,12/08/2014,0,0,2
RAVE MOTION PICTURE,4100 CARPENTER ROAD,YPSILANTI,12/03/2014,1,1,7
RAVENS CLUB (THE),207 S. MAIN STREET,ANN ARBOR,12/11/2014,3,0,1
RAY'S RED HOT'S,629 E. UNIVERSITY,ANN ARBOR,12/09/2014,0,0,2
RED HAWK,316 S. STATE STREET,ANN ARBOR,12/11/2014,4,0,5
RITE SPICE LLC,32 E CROSS,YPSILANTI,12/05/2014,0,1,2
