Establishment,Address,City,Inspection Date,Priority Violations,Priority Foundations Violations,Core Violations
A & W DRIVE IN,8220 DEXTER-CHELSEA,DEXTER,11/03/2014,2,0,5
AHMO'S GYROS & DELI,4001 STONE SCHOOL ROAD,ANN ARBOR,11/14/2014,0,2,1
ARBOR PREPARATORY HIGH SCHOOL,6800 HITCHINGHAM RD.,YPSILANTI,11/03/2014,1,1,0
"ARK, THE",316 S. MAIN STREET,ANN ARBOR,11/14/2014,0,0,1
AYSE'S  CAFE,1703 PLYMOUTH ROAD,ANN ARBOR,11/21/2014,0,1,4
BAR LOUIE,"401 E. LIBERTY, STE 200",ANN ARBOR,11/05/2014,0,1,6
BARTON HILLS COUNTRY CLUB,730 COUNTRY CLUB DRIVE,ANN ARBOR,11/12/2014,0,1,5
BASKIN ROBBINS ,1952 W. STADIUM BLVD,ANN ARBOR,11/24/2014,0,0,2
BELLY DELI,1317 S. UNIVERSITY,ANN ARBOR,11/06/2014,1,0,3
BIG SALAD,2793 PLYMOUTH RD STE C,ANN ARBOR,11/20/2014,1,1,2
BIG SKY DINER,1340 ECORSE ROAD,YPSILANTI,11/12/2014,2,2,13
BIGGBY COFEE 274,709 PACKARD RD STE B,ANN ARBOR,11/05/2014,0,1,4
BIGGBY COFFEE,3354 WASHTENAW AVE,ANN ARBOR,11/13/2014,0,1,4
"BIGGBY COFFEE STORE 291 (ATOS, LLC)",1171 S. MAIN ST. STE # 1,CHELSEA,11/06/2014,1,0,2
BONE HEADS BAR-B-QUE INC,10256 WILLIS ROAD,WILLIS,11/21/2014,1,0,1
BROWN CHAPEL A.M.E. CHURCH,1043 W. MICHIGAN AVENUE,YPSILANTI,11/14/2014,2,1,4
BUBBLE ISLAND,1220 S. UNIVERSITY,ANN ARBOR,11/05/2014,0,0,4
BURGER KING #481,6190  W MICHIGAN AVENUE,SALINE,11/04/2014,0,0,5
CARLYLE BAR & GRILL,3660 JACKSON RD,ANN ARBOR,11/12/2014,2,4,6
CATERED COFFEE LLC,12855 EAST OLD US. 12 #8,CHELSEA,11/25/2014,0,0,1
CEDARS OF DEXTER (THE),411 CEDARS LANE,DEXTER,11/13/2014,4,4,2
CHILI'S BAR & GRILL,3795 WASHTENAW,ANN ARBOR,11/26/2014,0,1,5
CHINA KING,3901 JACKSON RD,ANN ARBOR,11/06/2014,0,1,11
CONOR O'NEILLS,318 S. MAIN STREET,ANN ARBOR,11/14/2014,2,0,0
CONWAY FREIGHT- STERLING SERVICES,2211 OLD EARHART RD.,ANN ARBOR,11/13/2014,0,1,5
CREEKSIDE GRILL & BAR,5827 JACKSON ROAD,ANN ARBOR,11/10/2014,2,2,3
DEXTER'S PUB,8114 MAIN STREET,DEXTER,11/12/2014,1,1,6
DOG DAYS III,2515 JACKSON,ANN ARBOR,11/05/2014,0,0,0
DOMINICK'S,812 MONROE,ANN ARBOR,11/10/2014,0,0,0
DOMINO'S PIZZA #1117 / T & R PIZZA,4910 WASHTENAW AVE,ANN ARBOR,11/05/2014,4,1,6
EARLE,121 W. WASHINGTON,ANN ARBOR,11/20/2014,0,2,4
EAST ARBOR CHARTER ACADEMY,6885 MERRIT RD,YPSILANTI,11/03/2014,1,0,0
EAST U PROVISIONS - REVIVE/REPLENISH,619 E. UNIVERSITY AVE,YPSILANTI,11/07/2014,0,0,2
EASTERN CONEY ISLAND,533 W. CROSS STREET,YPSILANTI,11/04/2014,1,0,9
"EAT, CATERING AND SCRATCH KITCHEN",1906 PACKARD,ANN ARBOR,11/17/2014,2,1,6
ELIXIR VITAE COFFEE AND TEA,326 MAYNARD,ANN ARBOR,11/04/2014,0,0,1
