Establishment,Address,City,Inspection Date,Priority Violations,Priority Foundation Violations,Core Violations
ACHILLES RESTAURANT,3075 PACKARD,ANN ARBOR,10/15/2014,1,1,1
ADAMS ELEMENTARY,503 OAK,YPSILANTI,10/15/2014,0,1,1
AFTERNOON DELIGHT,251 E. LIBERTY,ANN ARBOR,10/28/2014,1,1,1
AHMO'S EXPRESS,2505 DEXTER RD.,ANN ARBOR,10/01/2014,0,0,2
ALLEN ELEMENTARY,2560 TOWNER,ANN ARBOR,10/30/2014,0,0,2
ALLEY BAR,112 W. LIBERTY,ANN ARBOR,10/10/2014,0,1,5
AMA BISTRO,215 S. STATE STREET,ANN ARBOR,10/15/2014,1,3,0
AMANDA'S KITCHEN,3744 PLAZA DR,ANN ARBOR,10/17/2014,1,1,0
AMERICAN LEGION POST 268,44 WABASH STREET,MILAN,10/02/2014,4,3,7
AMER'S DELI,611 CHURCH STREET,ANN ARBOR,10/20/2014,0,1,3
ANGELL ELEMENTARY,1608 S. UNIVERSITY,ANN ARBOR,10/07/2014,0,0,1
ANN ARBOR CITY CLUB,1830 WASHTENAW,ANN ARBOR,10/24/2014,0,0,1
ANN ARBOR PRESCHOOL & EARLY CHILDHOOD,2725 BOARDWALK,ANN ARBOR,10/20/2014,1,0,1
ANN ARBOR REGENT HOTEL CONFERENCE CENTER,2525 CARPENTER RD,ANN ARBOR,10/07/2014,0,0,2
APPLEBEE'S ,3819 CARPENTER ROAD,YPSILANTI,10/02/2014,1,0,7
ARBY'S ROAST BEEF #6325,1189 DEXTER STREET,MILAN,10/22/2014,0,0,2
ASHLEY'S RESTAURANTS LTD,338 S. STATE STREET,ANN ARBOR,10/15/2014,2,4,6
ATRIA ANN ARBOR,1901 PLYMOUTH RD,ANN ARBOR,10/30/2014,2,3,3
AUNTIE ANNE'S PRETZELS,261 BRIARWOOD CIRCLE,ANN ARBOR,10/06/2014,2,0,2
AVI FOOD SYSTEM @ NSF INTERNATIONAL,789 DIXBORO ROAD,ANN ARBOR,10/22/2014,2,1,2
BABS' UNDERGROUND LOUNGE,213 S. ASHLEY,ANN ARBOR,10/07/2014,1,2,3
BAD DOGS HOT DOGS,13455 PETERSBURG RD,MILAN,10/30/2014,0,0,0
BAKE ME CRAZY,108 E MADISON,ANN ARBOR,10/15/2014,1,1,3
BANFIELD'S BAR & GRILL,3140 PACKARD,ANN ARBOR,10/08/2014,5,4,8
BARRY BAGELS (BAGEL PLACE),2515 JACKSON AVENUE,ANN ARBOR,10/10/2014,0,0,2
BD'S MONGOLIAN GRILL OF ANN ARBOR,200 S. MAIN STREET,ANN ARBOR,10/09/2014,3,2,2
BEARCLAW COFFEE COMPANY,2460 WASHTENAW AVE.,ANN ARBOR,10/17/2014,1,1,2
BEN & JERRY'S HOMEMADE,304 S. STATE STREET,ANN ARBOR,10/15/2014,0,0,2
BIGGBY COFFEE,6961 E. MICHIGAN AVE,SALINE,10/31/2014,0,1,5
BISHOP ELEMENTARY,8888 WHITTAKER ROAD,YPSILANTI,10/20/2014,0,0,3
BLACK SWALLOW ESPRESSO & COFFEE ,"210 FERRIS ST., APT. 2",YPSILANTI,10/05/2014,0,0,0
BLACKPEARL,302 S. MAIN ST.,ANN ARBOR,10/28/2014,2,1,3
BLUE NILE,221 E. WASHINGTON,ANN ARBOR,10/28/2014,0,0,2
BLUE TRACTOR BBQ  & BREWERY,211 E. WASHINGTON,ANN ARBOR,10/02/2014,2,0,8
BONA SERA CAFE,200 W. MICHIGAN AVE,YPSILANTI,10/02/2014,2,2,7
"BRAT AND CHILI POT LLC, THE",108 S ADAMS ST. 980201,YPSILANTI,10/31/2014,0,1,0
BRECON VILLAGE MEMORY SUPPORT CENTER,202 BRECON DRIVE,SALINE,10/31/2014,0,1,1
BRIDGEWATER BANK & TAVERN RESTAURANT,8452 BOETTNER,BRIDGEWATER,10/28/2014,1,1,1
BROKEN EGG,221 N. MAIN STREET,ANN ARBOR,10/02/2014,2,0,5
BROOKIES CAFE' LLC,1785 WASHTENAW,YPSILANTI,10/16/2014,1,3,8
BRUEGGER'S BAGEL BAKERY,2260 S. MAIN STREET,ANN ARBOR,10/09/2014,3,0,8
BRYANT ELEMENTARY SCHOOL,2150 SANTA ROSA,ANN ARBOR,10/27/2014,1,1,3
BUFFALO WILD WINGS,3150 BOARDWALK,ANN ARBOR,10/14/2014,1,0,4
CALIFORNIA PIZZA KITCHEN,870 BRIARWOOD CIRCLE,ANN ARBOR,10/06/2014,1,1,6
CARRIGAN CAFE,107 N. ANN ARBOR STREET,SALINE,10/24/2014,2,1,3
CASEY'S TAVERN,304 DEPOT STREET,ANN ARBOR,10/23/2014,2,1,3
CHAN GARDEN,2265 W. LIBERTY,ANN ARBOR,10/28/2014,0,0,2
CHELSEA HIGH FOOTBALL CONCESSION,500 E. WASHINGTON,CHELSEA,10/10/2014,0,0,0
CHELSEA HIGH SCHOOL,740 N. FREER ROAD,CHELSEA,10/09/2014,1,2,0
