Establishment,Address,City,Inspection Date,Priority Violations,Priority Foundation Violations,Core Violations
A TASTE OF SOUL,97 SPRING STREET,YPSILANTI,09/11/2014,1,0,1
ABBOTT ELEMENTARY,2670 SEQUOIA PARKWAY,ANN ARBOR,09/30/2014,0,0,0
AFC SUSHI @ EMU ,1200 OAKWOOD ,YPSILANTI,09/23/2014,1,0,1
AHMO'S GYROS & DELI,341 E. HURON,ANN ARBOR,09/30/2014,0,0,3
AHMOS YPSILANTI,1425 WASHTENAW AVE,YPSILANTI,09/18/2014,0,0,1
ALI BABA RESTAURANT,601 PACKARD,ANN ARBOR,09/26/2014,0,0,2
AMERICAN GRILL INC.,1450 HOLMES ROAD,YPSILANTI,09/16/2014,0,2,2
AMERICAN LEGION POST 322,320 W. MICHIGAN AVENUE,SALINE,09/19/2014,1,0,3
AMVETS POST 269 - ROBERT L. CARVER,2839 E. MICHIGAN AVE,YPSILANTI,09/10/2014,0,0,0
ANN ARBOR GOLF & OUTING,400 E. STADIUM BLVD,ANN ARBOR,09/05/2014,1,1,4
APPLEBEE'S ,2310 GREEN ROAD,ANN ARBOR,09/04/2014,2,0,4
ARBOR BREWING CO.,114 E. WASHINGTON,ANN ARBOR,09/04/2014,0,1,5
ARCTIC COLISEUM CONCESSION STAND,501 COLISEUM DR.,CHELSEA,09/11/2014,1,2,5
ARGIERIO'S RESTAURANT,300 DETROIT STREET,ANN ARBOR,09/18/2014,0,1,4
ARIRANG,3135 OAK VALLEY DRIVE,ANN ARBOR,09/24/2014,0,0,5
ASIA CITY RESTAURANT,2905 WASHTENAW AVE.,YPSILANTI,09/23/2014,5,6,8
AUBREE'S PIZZERIA & GRILL,8031 MAIN ST. SUITE 100,DEXTER,09/23/2014,1,0,1
BACH ELEMENTARY,600 W. JEFFERSON,ANN ARBOR,09/16/2014,0,0,1
BAGGER DAVE'S,859 W. EISENHOWER PARKWAY,ANN ARBOR,09/24/2014,2,0,6
BATES ELEMENTARY,2704 BAKER ROAD,DEXTER,09/09/2014,0,0,0
"BEER GROTTO, THE",8059 MAIN ST,DEXTER,09/03/2014,1,1,4
BELLA ITALIA PIZZA & PASTA,895 W. EISENHOWER PARKWAY,ANN ARBOR,09/16/2014,3,0,7
BELL'S DINER,2167 W. STADIUM BLVD,ANN ARBOR,09/08/2014,0,0,3
BELL'S PIZZA,716 PACKARD,ANN ARBOR,09/16/2014,0,2,2
BETHLEHEM CHURCH OF CHRIST,423 S. FOURTH AVENUE,ANN ARBOR,09/08/2014,0,0,2
BIG OCEAN FRESH FISH & SEA FOOD MARKET,334 S. FORD BLVD,YPSILANTI,09/25/2014,0,0,2
BIGGBY COFFEE,"5245 JACKSON RD, STE A",ANN ARBOR,09/04/2014,2,0,2
BIGGBY COFFEE # 288,2550 W. STADIUM BLVD,ANN ARBOR,09/26/2014,1,1,4
BLANK SLATE CREAMERY LLC,300 W. LIBERTY,ANN ARBOR,09/24/2014,0,0,0
BLIND PIG CAFE,208 S. FIRST STREET,ANN ARBOR,09/22/2014,0,1,1
BOB EVANS FARM LLC,2411 CARPENTER ROAD,ANN ARBOR,09/30/2014,1,0,5
BREWED AWAKENINGS CAFE,7025 E. MICHIGAN AVE,SALINE,09/12/2014,1,0,4
BROOKHAVEN MANOR,401 W. OAKBROOK DRIVE,ANN ARBOR,09/12/2014,1,2,7
BURGER KING #472,4885 WASHTENAW,ANN ARBOR,09/26/2014,0,0,7
