Establishment,Address,City,Inspection Date,Priority Violations,Priority Foundation Violations,Core Violations
8 TORTAS LLC,3584 PLYMOUTH ROAD,ANN ARBOR,04/01/2015,0,0,6
ACHILLES RESTAURANT,3075 PACKARD,ANN ARBOR,04/14/2015,3,2,4
ADAMS ELEMENTARY,503 OAK,YPSILANTI,04/17/2015,0,0,3
AFTERNOON DELIGHT,251 E. LIBERTY,ANN ARBOR,04/23/2015,3,2,2
AHMO'S EXPRESS,2505 DEXTER RD.,ANN ARBOR,04/20/2015,0,1,1
AHMO'S GYROS & DELI,341 E. HURON,ANN ARBOR,04/28/2015,0,0,1
ALI BABA RESTAURANT,601 PACKARD,ANN ARBOR,04/13/2015,0,0,2
ALLEN ELEMENTARY,2560 TOWNER,ANN ARBOR,04/22/2015,0,0,1
ALLEY BAR,112 W. LIBERTY,ANN ARBOR,04/09/2015,0,0,5
AMA BISTRO,215 S. STATE STREET,ANN ARBOR,04/06/2015,4,3,8
AMANDA'S KITCHEN,3744 PLAZA DR,ANN ARBOR,04/23/2015,0,0,0
AMER'S DELI,611 CHURCH STREET,ANN ARBOR,04/07/2015,0,1,6
ANGELL ELEMENTARY,1608 S. UNIVERSITY,ANN ARBOR,04/02/2015,0,0,0
ANN ARBOR CITY CLUB,1830 WASHTENAW,ANN ARBOR,04/13/2015,1,0,0
ANN ARBOR PRESCHOOL & EARLY CHILDHOOD,2725 BOARDWALK,ANN ARBOR,04/22/2015,0,0,0
ANN ARBOR REGENT HOTEL CONFERENCE CENTER,2525 CARPENTER RD,ANN ARBOR,04/14/2015,0,0,2
ASHLEY'S RESTAURANTS LTD,338 S. STATE STREET,ANN ARBOR,04/06/2015,2,1,3
ASIA CITY RESTAURANT,2905 WASHTENAW AVE.,YPSILANTI,04/22/2015,2,2,7
ATRIA ANN ARBOR,1901 PLYMOUTH RD,ANN ARBOR,04/30/2015,1,1,6
AUNTIE ANNE'S PRETZELS,261 BRIARWOOD CIRCLE,ANN ARBOR,04/13/2015,0,0,0
AVI FOOD SYSTEM @ NSF INTERNATIONAL,789 DIXBORO ROAD,ANN ARBOR,04/13/2015,0,0,1
BABS' UNDERGROUND LOUNGE,213 S. ASHLEY,ANN ARBOR,04/09/2015,0,1,1
BANFIELD'S BAR & GRILL,3140 PACKARD,ANN ARBOR,04/22/2015,0,1,6
BAR LOUIE,"401 E. LIBERTY, STE 200",ANN ARBOR,04/30/2015,0,1,1
BARRY BAGELS (BAGEL PLACE),2515 JACKSON AVENUE,ANN ARBOR,04/22/2015,0,0,3
BD'S MONGOLIAN GRILL OF ANN ARBOR,200 S. MAIN STREET,ANN ARBOR,04/02/2015,0,1,3
BEARCLAW COFFEE CO (STFU),42 ENTERPRISE DR,ANN ARBOR,04/04/2015,0,0,0
BEARCLAW COFFEE COMPANY,2460 WASHTENAW AVE.,ANN ARBOR,04/07/2015,1,1,0
BEN & JERRY'S HOMEMADE,304 S. STATE STREET,ANN ARBOR,04/06/2015,0,0,5
BIGGBY COFFEE,6961 E. MICHIGAN AVE,SALINE,04/29/2015,1,1,6
BISHOP ELEMENTARY,8888 WHITTAKER ROAD,YPSILANTI,04/21/2015,0,0,0
BLANK SLATE CREAMERY LLC,300 W. LIBERTY,ANN ARBOR,04/07/2015,1,1,0
BLUE NILE,221 E. WASHINGTON,ANN ARBOR,04/23/2015,0,1,3
BLUE TRACTOR BBQ  & BREWERY,211 E. WASHINGTON,ANN ARBOR,04/01/2015,1,1,6
"BRAT AND CHILI POT LLC, THE",108 S ADAMS ST. 980201,YPSILANTI,04/23/2015,0,0,0
BRIDGEWATER BANK & TAVERN RESTAURANT,8452 BOETTNER,BRIDGEWATER,04/23/2015,2,0,1
BROADWAY HOAGIE,1139 BROADWAY,ANN ARBOR,04/02/2015,0,0,7
BROOKIES CAFE' LLC,1785 WASHTENAW,YPSILANTI,04/15/2015,1,2,2
BRUEGGER'S BAGEL BAKERY,2260 S. MAIN STREET,ANN ARBOR,04/03/2015,0,1,7
BRYANT ELEMENTARY SCHOOL,2150 SANTA ROSA,ANN ARBOR,04/28/2015,0,0,0
BUFFALO WILD WINGS,3150 BOARDWALK,ANN ARBOR,04/09/2015,1,2,6
CALIFORNIA PIZZA KITCHEN,870 BRIARWOOD CIRCLE,ANN ARBOR,04/21/2015,5,2,5
CARRIGAN CAFE,"101  S ANN ARBOR ST, STE 107",SALINE,04/14/2015,1,0,4
CASABLANCA MOROCCA & MEDITERANEAN CUISIN,2333 WASHTENAW,YPSILANTI,04/01/2015,4,3,4
CASEY'S TAVERN,304 DEPOT STREET,ANN ARBOR,04/08/2015,1,0,6
CHELA'S RESTAURANT & TAQUERIA,693 S. MAPLE ROAD,ANN ARBOR,04/13/2015,0,0,0
CHELSEA HIGH SCHOOL,740 N. FREER ROAD,CHELSEA,04/20/2015,1,0,1
CHELSEA SCH BASEBALL CONCESSION,14138 E. OLD U.S.12,CHELSEA,04/23/2015,0,0,0
CHELSEA SCH SOFTBALL CONCESSIONS,14138 E. OLD U.S. 12,CHELSEA,04/24/2015,0,0,0
CHINESE TONITE RESTAURANT,1127 S. MAIN STREET,CHELSEA,04/15/2015,1,1,7
CHOP HOUSE,322 S. MAIN STREET,ANN ARBOR,04/27/2015,2,1,3
CHUCK E. CHEESE'S #334,2655 OAK VALLEY DRIVE,ANN ARBOR,04/08/2015,1,2,6
COMMUNITY HIGH SCHOOL,401 N DIVISION,ANN ARBOR,04/13/2015,0,0,0
