Establishment,Address,City,Inspection Date,Priority Violations Cnt,Priority Foundation Violations,Core Violations
"ALLEY, THE     (KATIE'S)",2830 BAKER ROAD,DEXTER,02/18/2015,1,0,3
AMADEUS CAFE,122 E. WASHINGTON,ANN ARBOR,02/05/2015,0,0,2
ARBY'S ROAST BEEF,5660 JACKSON ROAD,ANN ARBOR,02/05/2015,0,1,2
ARBY'S/PILOT TRAVEL CTR #296,195 BAKER ROAD,DEXTER,02/06/2015,0,0,0
AUBREE'S SALOON,39 E. CROSS STREET,YPSILANTI,02/20/2015,2,1,5
AVENTURA,216 E WASHINGTON,ANN ARBOR,02/18/2015,0,1,0
B-24'S FLY BY CAFE',5577 WHITTAKER RD,YPSILANTI,02/03/2015,2,0,2
BACK ALLEY GOURMET,611 S. MAIN STREET,ANN ARBOR,02/04/2015,0,0,2
BANDITO'S,216 S. FOURTH AVENUE,ANN ARBOR,02/18/2015,0,0,1
BANG'KOK CUISINE EXPRESS #3 INC. ,4119 STONE SCHOOL RD,ANN ARBOR,02/19/2015,1,0,6
"BARNES & NOBLE BOOKSELLERS, INC",3235 WASHTENAW,ANN ARBOR,02/27/2015,0,0,1
BEACH MIDDLE SCHOOL POOL,445  AD MAYER DRIVE,CHELSEA,02/12/2015,0,1,1
BEARCLAW COFFEE CO.,9188 N. TERRITORIAL ROAD,DEXTER,02/06/2015,1,0,2
BETH ISRAEL CONGREGATION,2000 WASHTENAW,ANN ARBOR,02/03/2015,0,1,5
BIG BOY WESTSIDE,2800 WASHTENAW,YPSILANTI,02/17/2015,0,2,5
BIGALORA WOODFIRED CUCINA,3050 WASHTENAW #112,ANN ARBOR,02/12/2015,3,3,7
BIGGBY COFFEE,3980 PLATT RD STE A,ANN ARBOR,02/04/2015,2,2,4
BRECON VILLAGE,200 BRECON DRIVE,SALINE,02/26/2015,2,0,6
BRECON VILLAGE COUNTRY STORE,200 BRECON DRIVE,SALINE,02/26/2015,0,0,1
BROWN JUG RESTAURANT,1204 S. UNIVERSITY,ANN ARBOR,02/19/2015,2,2,3
BTB CANTINA (BIG TEN BURRITO CANTINA),1140 S. UNIVERSITY (2ND FLOOR),ANN ARBOR,02/23/2015,1,0,3
BUFFALO WILD WINGS,205 S. STATE STREET,ANN ARBOR,02/12/2015,0,0,2
BUFFALO WILD WINGS,216 JAMES L. HART PARKWAY,YPSILANTI,02/10/2015,1,2,4
BURGER FI,1235 S UNIVERSITY AVE,ANN ARBOR,02/03/2015,0,1,2
BURGER KING # 434,2295 W. STADIUM BLVD,ANN ARBOR,02/25/2015,1,0,6
BURGER KING #19948,1073 E MICHIGAN AVE,YPSILANTI,02/17/2015,0,0,4
CAFE FELIX,204 S. MAIN STREET,ANN ARBOR,02/10/2015,1,3,0
CHELSEA ALEHOUSE BREWERY,420 N MAIN ST. STE 100,CHELSEA,02/06/2015,1,0,0
CHELSEA COMMUNITY HOSPITAL,775 S. MAIN STREET,CHELSEA,02/23/2015,4,0,0
CHEN NEW CHINA INC,"6889 STATE RD., STE D",SALINE,02/19/2015,0,1,5
CHINA ONE,29 E. MAIN STREET,MILAN,02/13/2015,1,2,4
CHIPOTLE MEXICAN GRILL,"858 BRIARWOOD CIRCLE, STE E130",ANN ARBOR,02/04/2015,2,1,6
CHIPOTLE MEXICAN GRILL,235 S. STATE ST.,ANN ARBOR,02/12/2015,0,1,5
"CLARION HOTEL, F & S HOSPITALITY",2900 JACKSON ROAD,ANN ARBOR,02/27/2015,0,0,1
CLASSIC CUP CAFE,4389 JACKSON ROAD,ANN ARBOR,02/24/2015,5,2,3
CLASSIC PIZZA,8015 HURON,DEXTER,02/12/2015,0,0,2
COFFEE HOUSE CREAMERY,3780 JACKSON RD.,ANN ARBOR,02/17/2015,1,0,3
COMMON CUP THE @ ST. LUKE LUTHERN CHURCH,1511 WASHTENAW,ANN ARBOR,02/27/2015,0,1,0
"CORNER BREWERY, LLC",720 NORRIS ST,YPSILANTI,02/24/2015,0,0,6
COTTAGE INN PIZZA,512 E. WILLIAM,ANN ARBOR,02/10/2015,3,2,6
COTTAGE INN PIZZA,2900 STATE STREET,ANN ARBOR,02/25/2015,3,2,1
