Establishment,Address,City,Inspection Date,Priority Violations,Priority Foundation Violations,Core Violations
A.D.P. NETWORK,175 JACKSON PLAZA,ANN ARBOR,01/06/2015,0,1,7
ABE'S CONEY ISLAND RESTAURANT,402 W. MICHIGAN AVENUE,YPSILANTI,01/26/2015,2,3,8
AFC SUSHI @ ST. JOSEPH MECRY HOSPITAL,5301 E. HURON RIVER DR.,YPSILANTI,01/26/2015,0,1,1
AKI SUSHI BAR GRILL,1828 WHITTAKER ROAD,YPSILANTI,01/12/2015,0,2,6
AMERICAN HOUSE - CARPENTER,3470 CARPENTER ROAD,YPSILANTI,01/02/2015,0,0,4
ANGELO'S LUNCH,1100 E. CATHERINE,ANN ARBOR,01/20/2015,1,0,3
ANGELO'S ON THE SIDE,1100 E. CATHERINE,ANN ARBOR,01/20/2015,0,1,1
ANN ARBOR ALPHA KONEY ISLAND,2833 OAK VALLEY DRIVE,ANN ARBOR,01/06/2015,1,0,6
ANN ARBOR REGENT HOTEL & SUITS,2455 CARPENTER RD.,ANN ARBOR,01/14/2015,0,1,2
ANTHONY'S GOURMET PIZZA,1508 N. MAPLE RD,ANN ARBOR,01/26/2015,0,0,0
APPLEBEE'S ,1005 E. EISENHOWER PKWY,ANN ARBOR,01/06/2015,1,0,3
ARBY'S ROAST BEEF #615,3015 WASHTENAW,YPSILANTI,01/14/2015,3,0,2
ARENA,203 E. WASHINGTON,ANN ARBOR,01/13/2015,1,2,5
ASIA CITY RESTAURANT,2905 WASHTENAW AVE.,YPSILANTI,01/07/2015,2,0,7
B 24's,217 W. MICHIGAN AVENUE,YPSILANTI,01/26/2015,0,1,1
BAR AT 327 BRAUN COURT (THE),327 BRAUN COURT,ANN ARBOR,01/13/2015,2,0,2
BASIL BOYS,527 W. MAIN STREET,MILAN,01/23/2015,0,0,5
BELL TOWER HOTEL,300 S THAYER,ANN ARBOR,01/22/2015,0,0,3
BEL-MARK LANES-JACKSON ROADHOUSE LLC,3530 JACKSON ROAD,ANN ARBOR,01/20/2015,1,0,6
BENITO'S YPSI,1088 N. HURON RIVER DRIVE,YPSILANTI,01/08/2015,0,0,6
BEWON JIN INC.,3574 PLYMOUTH RD,ANN ARBOR,01/06/2015,1,1,7
BIG BOY OF CHELSEA,1610 S. MAIN STREET,CHELSEA,01/21/2015,2,2,6
BIG BOY OF MILAN,1000 DEXTER STREET,MILAN,01/07/2015,1,1,5
BIGGBY COFFEE,1510 WASHTENAW AVE,YPSILANTI,01/16/2015,0,0,3
BOMBER RESTAURANT,306 E. MICHIGAN AVENUE,YPSILANTI,01/14/2015,2,1,6
BRECON GRILLE,101 W. MICHIGAN AVE,SALINE,01/15/2015,0,2,3
BRUEGGER'S BAGEL BAKERY,709 N. UNIVERSITY,ANN ARBOR,01/15/2015,0,0,8
BURGER KING # 4187,725 VICTORS WAY,ANN ARBOR,01/23/2015,0,0,5
BURGER KING #11248,151 S. ZEEB ROAD,ANN ARBOR,01/22/2015,0,0,5
"CAFE' JAPON, L'ESPRIT DE MIYOKO",943 N WAGNER RD,ANN ARBOR,01/14/2015,1,0,1
CALVARY BIBLE CHURCH,8318 CARPENTER RD,YPSILANTI,01/06/2015,1,0,1
CAMPUS INN,615 E. HURON,ANN ARBOR,01/22/2015,0,0,4
CHELSEA BAKERY,117 S. MAIN ST.,CHELSEA,01/14/2015,2,0,1
CHELSEA COMFORT INN - BREAKFAST CENTER,1645 COMMERECE PARK DR,CHELSEA,01/22/2015,2,2,0
CHELSEA WELLNESS CENTER,14800 OLD U.S. 12,CHELSEA,01/15/2015,0,0,0
CHIMNEY CAKE CAFE',852 BRIARWOOD CIRCLE,ANN ARBOR,01/09/2015,0,0,1
CHRISTIAN'S CATERING,45 TOLAN,MILAN,01/06/2015,0,0,1
CLOVERLEAF,201 E. LIBERTY,ANN ARBOR,01/14/2015,0,2,2
COFFEE MILL CAFE LLC.,115 E. MAIN STREET,MANCHESTER,01/21/2015,2,2,6
COMFORT INN CONFERENCE CENTER,1645 COMMERCE PARK DR,CHELSEA,01/22/2015,0,0,1
COTTAGE INN PIZZA,2301 W. STADIUM BLVD,ANN ARBOR,01/09/2015,1,3,13
COTTAGE INN PIZZA,1141 BROADWAY,ANN ARBOR,01/09/2015,0,4,9
COTTAGE INN PIZZA,546 PACKARD,ANN ARBOR,01/12/2015,3,4,8
CULVER'S,5910 JACKSON AVE,ANN ARBOR,01/05/2015,1,1,1
DANCEY HOUSE BISTRO/HOME MEALS,805 W. MIDDLE STREET,CHELSEA,01/23/2015,1,1,1
DENNY'S RESTAURANT # 864,3310 WASHTENAW,ANN ARBOR,01/14/2015,5,3,8
DETROIT DOG CO,103 N. ANN ARBOR STREET,SALINE,01/14/2015,1,0,5
DEXTER RIVERVIEW CONEY CAFE INC,8124 MAIN STREET,DEXTER,01/13/2015,2,3,6
DEXTER SENIOR CENTER,7720 ANN ARBOR STREET,DEXTER,01/30/2015,0,0,0
EBA (CAFETERIA) C/O DOMINO'S ,30 FRANK LLOYD WRIGHT,ANN ARBOR,01/09/2015,1,1,7
"ESPRESSO BAR, THE",124 E WASHINGTON ST,ANN ARBOR,01/08/2015,0,0,0
EXPRESS SEAFOOD,2653 ELLSWORTH RD,YPSILANTI,01/30/2015,1,1,9
FAIRFAX MANOR,1900 PROSPECT ROAD,YPSILANTI,01/27/2015,0,0,0
FAIRFAX MANOR,8100 GEDDES ROAD,YPSILANTI,01/27/2015,0,0,1
FIRST PRESBYTERIAN CHURCH,1432 WASHTENAW,ANN ARBOR,01/27/2015,1,2,6
FIRST UNITED METHODIST CHURCH,1200 N. ANN ARBOR STREET,SALINE,01/30/2015,0,1,0
FIVE GUYS BURGERS & FRIES,3601 E. WASHTENAW STE E,ANN ARBOR,01/06/2015,0,0,0
FOGGY BOTTOM COFFEEHOUSE,7065 DEXTER-ANN ARBOR ROAD,DEXTER,01/13/2015,0,0,2
GABRIEL'S HOAGIE SHOP,2585 E. MICHIGAN AVENUE,YPSILANTI,01/16/2015,0,0,2
GINGER DELI COMMISSARY,637 S MAIN ST,ANN ARBOR,01/16/2015,1,2,8
GINGER DELI LIBERTY STOREFRONT,303 S DIVISION,ANN ARBOR,01/23/2015,2,1,3
GUI LIN,711 W. MICHIGAN AVENUE,SALINE,01/30/2015,0,2,3
"HAPPY'S PIZZA #12, INC",612 E. MICHIGAN AVE,YPSILANTI,01/08/2015,2,1,7
HOLIDAY INN HOTEL & SUITES,3155 BOARDWALK DRIVE,ANN ARBOR,01/08/2015,1,2,3
HUNGRY HOWIE'S,1874 WHITTAKER ROAD,YPSILANTI,01/22/2015,1,1,4
HUNGRY HOWIE'S / MILAN PIZZA,901 W. MICHIGAN AVENUE,SALINE,01/29/2015,0,1,2
HURON HIGH INDOOR CONCESSIONS,2727 FULLER ROAD,ANN ARBOR,01/27/2015,1,0,0
HURON VALLEY PACE,2940 ELLSWORTH RD,YPSILANTI,01/06/2015,0,0,0
IMMACULATE CONCEPTION CHURCH,410 NORTH STREET,MILAN,01/06/2015,2,0,3
JERSEY MIKE'S,2561 JACKSON AVE,ANN ARBOR,01/15/2015,1,0,2
JERUSALEM GARDEN,307 S. FIFTH AVENUE,ANN ARBOR,01/14/2015,1,1,2
JET'S PIZZA,3127 OAK VALLEY DRIVE,ANN ARBOR,01/05/2015,0,2,3
JIMMY JOHN'S,3365 WASHTENAW AVE STE D,ANN ARBOR,01/21/2015,1,2,3
JINAN'S EXOTIC BAKERY,1721 PLYMOUTH ROAD,ANN ARBOR,01/08/2015,0,0,6
JOE'S JAVA @ CHELSEA COMMUNITY HOSPITAL,775 S MAIN ST,CHELSEA,01/16/2015,0,0,3
KATHERINE'S CATERING,"359 METTY DR., SUITE #4",ANN ARBOR,01/28/2015,3,1,8
KFC / TACO BELL,502 E. MICHIGAN AVENUE,SALINE,01/15/2015,0,0,4
KNIGHTS ON LIBERTY ,600 E LIBERTY ST,ANN ARBOR,01/09/2015,0,0,2
KOSMO,407 N. FIFTH AVENUE,ANN ARBOR,01/12/2015,0,2,1
LA CAFE',7120 DEXTER-ANN ARBOR RD,DEXTER,01/30/2015,1,1,1
LA TORRE TAQUERIA MEXICAN RESTAURANT LLC,1525 WASHTENAW AVE.,YPSILANTI,01/29/2015,3,4,2
LAB,505 E. LIBERTY STE 300,ANN ARBOR,01/27/2015,0,1,4
LEO'S CONEY ISLAND,"3644 CARPENTER RD, SUITE A",ANN ARBOR,01/14/2015,1,0,4
LITTLE CAESAR'S PIZZA,1595 HOLMES RD,YPSILANTI,01/16/2015,0,0,2
LITTLE CAESAR'S PIZZA TREAT,1944 W. STADIUM BLVD,ANN ARBOR,01/08/2015,0,0,0
LUCKY 7 CHINESE,1777 WASHTENAW,YPSILANTI,01/29/2015,1,3,7
LUCKY GARDEN,1072 HURON RIVER DRIVE,YPSILANTI,01/08/2015,0,1,6
LURIE TERRACE,600 W. HURON,ANN ARBOR,01/28/2015,0,0,2
M D BAGEL FRAGEL LLC,1760 PLYMOUTH RD.,ANN ARBOR,01/06/2015,1,1,3
MACY'S,700 BRIARWOOD CIRCLE,ANN ARBOR,01/13/2015,0,0,3
MAIDSTONE THEATRE,1425 ECORSE / P.O.BOX 980294,YPSILANTI,01/30/2015,0,0,6
MAIN STREET CONEY ISLAND,1555 S. MAIN STREET,CHELSEA,01/27/2015,1,0,6
MANCINO'S PIZZA & GRINDERS ,2883 CARPENTER ROAD,ANN ARBOR,01/08/2015,0,1,7
