Establishment,Address,City,Inspection Date,Priority Violations,Priority Foundation Violations,Core Violations
ABBOTT ELEMENTARY,2670 SEQUOIA PARKWAY,ANN ARBOR,03/17/2015,1,2,1
AFC SUSHI @ EMU ,1200 OAKWOOD ,YPSILANTI,03/11/2015,1,0,1
AHMOS YPSILANTI,1425 WASHTENAW AVE,YPSILANTI,03/31/2015,1,1,2
AMERICAN LEGION POST 268,44 WABASH STREET,MILAN,03/24/2015,0,0,6
AMERICAN LEGION POST 322,320 W. MICHIGAN AVENUE,SALINE,03/12/2015,2,2,6
ANTHONY'S GOURMET PIZZA,621 SOUTH MAIN ST,ANN ARBOR,03/03/2015,0,0,1
APPLEBEE'S ,3819 CARPENTER ROAD,YPSILANTI,03/12/2015,1,1,8
APPLEBEE'S ,2310 GREEN ROAD,ANN ARBOR,03/05/2015,1,0,4
ARBOR BREWING CO.,114 E. WASHINGTON,ANN ARBOR,03/10/2015,0,0,4
ARCTIC COLISEUM CONCESSION STAND,501 COLISEUM DR.,CHELSEA,03/02/2015,0,0,3
ARGIERIO'S RESTAURANT,300 DETROIT STREET,ANN ARBOR,03/05/2015,1,1,1
ARIRANG,3135 OAK VALLEY DRIVE,ANN ARBOR,03/27/2015,0,2,7
AUBREE'S PIZZERIA & GRILL,8031 MAIN ST. SUITE 100,DEXTER,03/26/2015,0,0,1
BACH ELEMENTARY,600 W. JEFFERSON,ANN ARBOR,03/12/2015,0,1,1
BAGGER DAVE'S,859 W. EISENHOWER PARKWAY,ANN ARBOR,03/25/2015,3,1,6
BATES ELEMENTARY,2704 BAKER ROAD,DEXTER,03/09/2015,0,0,1
BEARCLAW COFFEE CO (STFU),42 ENTERPRISE DR,ANN ARBOR,03/14/2015,0,0,0
"BEER GROTTO, THE",8059 MAIN ST,DEXTER,03/06/2015,1,0,4
BELLA ITALIA PIZZA & PASTA,895 W. EISENHOWER PARKWAY,ANN ARBOR,03/25/2015,1,2,5
BELL'S DINER,2167 W. STADIUM BLVD,ANN ARBOR,03/20/2015,0,2,3
BELL'S PIZZA,716 PACKARD,ANN ARBOR,03/05/2015,2,2,5
BETHLEHEM CHURCH OF CHRIST,423 S. FOURTH AVENUE,ANN ARBOR,03/10/2015,0,0,0
BIG OCEAN FRESH FISH & SEA FOOD MARKET,334 S. FORD BLVD,YPSILANTI,03/30/2015,0,0,0
BIGGBY COFFEE,"5245 JACKSON RD, STE A",ANN ARBOR,03/05/2015,1,0,1
"BILL'S, INC.",1292 E. MICHIGAN AVENUE,YPSILANTI,03/23/2015,0,0,0
BLIND PIG CAFE,208 S. FIRST STREET,ANN ARBOR,03/04/2015,2,0,2
BOB EVANS FARM LLC,2411 CARPENTER ROAD,ANN ARBOR,03/24/2015,0,0,7
BONA SERA CAFE,200 W. MICHIGAN AVE,YPSILANTI,03/24/2015,0,2,4
BREWED AWAKENINGS CAFE,7025 E. MICHIGAN AVE,SALINE,03/10/2015,0,0,0
BROKEN EGG,221 N. MAIN STREET,ANN ARBOR,03/24/2015,3,1,3
BROOKHAVEN MANOR,401 W. OAKBROOK DRIVE,ANN ARBOR,03/06/2015,0,0,4
BTB (BIG TEN BURRITO),810 S. STATE STREET,ANN ARBOR,03/02/2015,1,0,4
BURNS PARK ELEMENTARY,1414 WELLS,ANN ARBOR,03/24/2015,0,0,0
CAFE OLLIE/MI GENERAL STORE,42 E. CROSS STREET,YPSILANTI,03/05/2015,0,0,4
CAFE ZOLA,112 W. WASHINGTON,ANN ARBOR,03/17/2015,0,0,8
CARPENTER ELEMENTARY,4250 CENTRAL,ANN ARBOR,03/25/2015,1,2,5
CENTRAL ACADEMY ELEMENTARY,2455 SOUTH INDUSTRIAL,ANN ARBOR,03/27/2015,1,0,3
CENTRAL ACADEMY MIDDLE & HIGH SCHOOL ,2461 S. INDUSTRIAL HIGHWAY,ANN ARBOR,03/26/2015,0,1,6
CHELSEA COMMUNITY CENTER,500 E. WASHINGTON,CHELSEA,03/16/2015,1,0,0
CHICK INN,501 HOLMES ROAD,YPSILANTI,03/05/2015,7,5,6
CHINA GATE RESTAURANT,1201 S. UNIVERSITY,ANN ARBOR,03/27/2015,0,0,3
CHIPOTLE MEXICAN GRILL #955,3354 WASHTENAW AVE,ANN ARBOR,03/05/2015,1,0,7
CITY LIMITS DINER,220 W. MICHIGAN AVENUE,SALINE,03/12/2015,1,3,11
CLAGUE JR. HIGH SCHOOL,2616 NIXON ROAD,ANN ARBOR,03/10/2015,0,0,2
COBBLESTONE FARM CENTER,2791 PACKARD,ANN ARBOR,03/13/2015,0,0,1
COMET COFFEE LLC,16 NICKELS ARCADE,ANN ARBOR,03/11/2015,1,0,0
COMMON GRILL,112 S. MAIN STREET,CHELSEA,03/11/2015,1,1,8
CORNERSTONE ELEMENTARY,7480 DAN HOEY ROAD,DEXTER,03/13/2015,0,0,1
COTTAGE INN CARRY OUT ,501 E. MICHIGAN AVENUE,SALINE,03/04/2015,0,1,6
COTTAGE INN PIZZA,520 S. MAIN STREET,CHELSEA,03/12/2015,0,0,3
COTTAGE INN PIZZA,3219 BROAD ST.,DEXTER,03/03/2015,2,1,8
COUNTY COFFEE SHOP,101 E. HURON STREET,ANN ARBOR,03/31/2015,1,0,4
CREEKSIDE INTERMEDIATE SCHOOL,2615 BAKER ROAD,DEXTER,03/12/2015,0,0,1
CSTS DD COMERCIAL KITCHEN,2140 E. ELLSWORTH RD,ANN ARBOR,03/31/2015,0,0,2
CUBS A.C.,1950 S. INDUSTRIAL HIGHWAY,ANN ARBOR,03/09/2015,0,4,5
CUPPY'S BEST SOULFUL CAFE,1451 ECORSE ROAD,YPSILANTI,03/10/2015,9,4,10
DABU SUSHI,4037 CARPENTER RD,YPSILANTI,03/06/2015,0,0,3
DAIRY QUEEN,2430 W. STADIUM BLVD,ANN ARBOR,03/31/2015,0,0,0
DAIRY QUEEN - PACKARD,1805 PACKARD,ANN ARBOR,03/13/2015,0,0,4
DELECTABOWL STFU,2260 COLUMBRA RD,BERKLEY,03/27/2015,2,0,0
DELECTABOWL STFU,2260 COLUMBRA RD,BERKLEY,03/02/2015,0,0,0
DELICIOUS DOGS @ LOWE'S,3900 CARPENTER RD.,YPSILANTI,03/06/2015,0,0,1
DEXTER HIGH SCHOOL,2200 N. PARKER RD,DEXTER,03/13/2015,1,0,1
DICKEN ELEMENTARY,2135 RUNNYMEDE,ANN ARBOR,03/30/2015,0,0,2
DIMO'S RESTAURANT,2030 W. STADIUM BLVD,ANN ARBOR,03/17/2015,0,2,4
DOMINO'S PIZZA,2601 PLYMOUTH RD STE B,ANN ARBOR,03/04/2015,0,0,3
DOMINO'S PIZZA #1102,25 JACKSON INDUSTRIAL DR,ANN ARBOR,03/04/2015,0,1,2
DUNKIN DONUTS,608 S. HEWITT,YPSILANTI,03/03/2015,1,1,2
EBERWHITE ELEMENTARY,800 SOULE BLVD.,ANN ARBOR,03/16/2015,0,0,0
ELIXIR VITAE COFEE AND TEA,117 E LIBERTY,ANN ARBOR,03/23/2015,0,1,1
EMANUEL UNITED CHURCH OF CHRIST,324 W. MAIN STEET,MANCHESTER,03/12/2015,0,0,0
EMU - INTERNATIONAL KITCHEN,900 OAKWOOD,YPSILANTI,03/11/2015,1,1,3
EMU CROSSROADS & HOYT CONFERENCE CENTER,HOYT CONFERENCE CENTER,YPSILANTI,03/26/2015,0,1,6
