Establishment,Address,City,Inspection Date,Priority Violations,Priority Foundation Violations,Core Violations
ARBOR PREPARATORY HIGH SCHOOL,6800 HITCHINGHAM RD.,YPSILANTI,05/07/2015,1,0,0
ARBY'S ROAST BEEF #6325,1189 DEXTER STREET,MILAN,05/18/2015,0,0,2
AYSE'S  CAFE,1703 PLYMOUTH ROAD,ANN ARBOR,05/29/2015,0,1,4
BARTON HILLS COUNTRY CLUB,730 COUNTRY CLUB DRIVE,ANN ARBOR,05/12/2015,1,0,6
BELLY DELI,1317 S. UNIVERSITY,ANN ARBOR,05/29/2015,0,1,3
BIG SALAD,2793 PLYMOUTH RD STE C,ANN ARBOR,05/13/2015,1,1,6
BIG SKY DINER,1340 ECORSE ROAD,YPSILANTI,05/29/2015,4,2,10
BIGGBY COFEE 274,709 PACKARD RD STE B,ANN ARBOR,05/05/2015,0,1,1
BIGGBY COFFEE,3354 WASHTENAW AVE,ANN ARBOR,05/06/2015,1,0,3
"BIGGBY COFFEE STORE 291 (ATOS, LLC)",1171 S. MAIN ST. STE # 1,CHELSEA,05/13/2015,1,0,3
BILL'S BEER GARDEN,218 S ASHLEY,ANN ARBOR,05/07/2015,0,0,3
BLACKPEARL,302 S. MAIN ST.,ANN ARBOR,05/20/2015,2,1,2
BRAVO! CUCINA ITALIANA,760 BRIARWOOD CIRCLE,ANN ARBOR,05/28/2015,1,1,4
BRECON VILLAGE MEMORY SUPPORT CENTER,202 BRECON DRIVE,SALINE,05/01/2015,0,0,2
BROWN CHAPEL A.M.E. CHURCH,1043 W. MICHIGAN AVENUE,YPSILANTI,05/01/2015,1,0,1
BURGER KING #481,6190  W MICHIGAN AVENUE,SALINE,05/01/2015,0,2,4
CARLYLE BAR & GRILL,3660 JACKSON RD,ANN ARBOR,05/19/2015,2,5,2
CATERED COFFEE LLC,12855 EAST OLD US. 12 #8,CHELSEA,05/08/2015,0,0,1
CEDARS OF DEXTER (THE),411 CEDARS LANE,DEXTER,05/08/2015,1,0,1
CHAN GARDEN,2265 W. LIBERTY,ANN ARBOR,05/13/2015,0,0,2
CHILI'S BAR & GRILL,3795 WASHTENAW,ANN ARBOR,05/11/2015,3,2,4
CHINA GARDEN,1165 S. MAIN STREET,CHELSEA,05/06/2015,1,0,6
CHINA KING,3901 JACKSON RD,ANN ARBOR,05/11/2015,0,2,4
CHOPSTICKS,882 W. EISENHOWER PARKWAY,ANN ARBOR,05/27/2015,1,1,8
CONOR O'NEILLS,318 S. MAIN STREET,ANN ARBOR,05/06/2015,2,1,3
CONTINENTAL CANTEEN,5900 JACKSON RD,ANN ARBOR,05/11/2015,0,0,0
CONTINENTAL CANTEEN -DEXTER DIST CNTR,2103 BISHOP CIRCLE EAST -FRONT,DEXTER,05/11/2015,0,0,0
CONTINENTAL CANTEEN -SWEEPSTER ,2800 N ZEEB - LUNCH ROOM,DEXTER,05/11/2015,0,0,0
CONWAY FREIGHT- STERLING SERVICES,2211 OLD EARHART RD.,ANN ARBOR,05/13/2015,2,0,4
DAIRY QUEEN OF DEXTER,8041 MAIN STREET,DEXTER,05/08/2015,2,1,0
DOMINO'S PIZZA #1117 / T & R PIZZA,4910 WASHTENAW AVE,ANN ARBOR,05/04/2015,1,0,7
DON JUAN,2135 W. STADIUM BLVD.,ANN ARBOR,05/27/2015,0,0,3
EARLE,121 W. WASHINGTON,ANN ARBOR,05/27/2015,0,0,8
EAST ARBOR CHARTER ACADEMY,6885 MERRIT RD,YPSILANTI,05/07/2015,0,1,0
"EAT, CATERING AND SCRATCH KITCHEN",1906 PACKARD,ANN ARBOR,05/04/2015,0,1,5
EL HARISSA,1516 N MAPLE RD,ANN ARBOR,05/04/2015,0,0,0
ELIXIR VITAE COFFEE AND TEA,326 MAYNARD,ANN ARBOR,05/06/2015,0,0,2
EMMANUAL LUTHERAN CHURCH,201 N. RIVER STREET,YPSILANTI,05/28/2015,0,1,1
EMU BASEBALL CONCESSION BOOTH,799 N HEWITT,YPSILANTI,05/08/2015,0,0,1
FAIRFIELD INN ANN ARBOR,3285 BOARDWALK ,ANN ARBOR,05/08/2015,1,1,3
FIRST PRESBYTERIAN CHURCH,300 N. WASHINGTON,YPSILANTI,05/28/2015,0,0,1
FOOD GATHERERS / ROBERT J DELONIS CENTER,312 W. HURON,ANN ARBOR,05/15/2015,1,0,3
FORTIS ACADEMY,3875 GOLFSIDE,YPSILANTI,05/12/2015,0,1,0
FOX CLASSIC CLUBHOUSE,8768 N. TERRITORIAL ROAD,PLYMOUTH,05/05/2015,4,0,0
FRITA BATIDOS,117 W WASHINGTON,ANN ARBOR,05/14/2015,3,0,4
GODAIKO JAPANESE RESTAURANT,3105 OAK VALLEY DRIVE,ANN ARBOR,05/06/2015,1,0,3
HUNGRY HOWIE'S/MILAN PIZZA,6 W. MAIN STREET,MILAN,05/08/2015,0,0,5
ICE CREAM TIME,1240 ECORSE ROAD,YPSILANTI,05/01/2015,1,0,1
IHOP,4221 ELLSWORTH RD,YPSILANTI,05/01/2015,3,1,5
JENNY'S PIZZA PERFECT,332 S. FORD BLVD,YPSILANTI,05/21/2015,0,0,1
JERSEY MIKE'S,3650 CARPENTER RD STE F,YPSILANTI,05/26/2015,1,0,9
JERUSALEM GARDEN,314 E. LIBERTY,ANN ARBOR,05/19/2015,1,0,1
JET'S PIZZA,1749 PLYMOUTH RD,ANN ARBOR,05/15/2015,0,2,1
JIMMY JOHNS,1149 S MAIN ST.,CHELSEA,05/06/2015,1,1,0
JIMMY JOHN'S,929 E. ANN STREET,ANN ARBOR,05/27/2015,1,2,5
JIMMY JOHN'S GOURMET SANDWICHES,342 S. STATE STREET,ANN ARBOR,05/11/2015,2,3,3
JOE'S CRAB SHACK,3020 LOHR RD.,ANN ARBOR,05/06/2015,1,0,8
JOE'S JAVA,5333 MCAULEY DR,YPSILANTI,05/04/2015,0,0,0
JUNGLE JAVA,3900 JACKSON RD UNIT 1,ANN ARBOR,05/11/2015,1,1,4
KANG'S KOREAN RESTAURANT,1327 S. UNIVERSITY,ANN ARBOR,05/29/2015,0,3,4
KING ELEMENTARY,3800 WALDENWOOD,ANN ARBOR,05/04/2015,0,0,3
KLUCK'S DRIVE IN,401 E. MICHIGAN AVENUE,YPSILANTI,05/01/2015,2,2,2
KNIGHT'S BAR & RESTAURANT,2324 DEXTER STREET,ANN ARBOR,05/06/2015,1,0,2
KRAZY JIM'S BLIMPY BURGER,304 S. ASHLEY,ANN ARBOR,05/28/2015,1,2,6
KYOCERA UNIMERICAO TOOLING INC.,6620 STATE RD.,SALINE,05/06/2015,2,1,5
LA CUISINE BERBERE,1510 N.  MAPLE RD,ANN ARBOR,05/04/2015,0,1,2
"LA FIESTA MEXICANA, INC",529 W. CROSS STREET,YPSILANTI,05/08/2015,0,0,4
"LA FUENTE, INC",1930 WHITTAKER RD,YPSILANTI,05/07/2015,0,3,4
LENA/HABANA,226 S MAIN ST,ANN ARBOR,05/05/2015,0,3,8
LESLIE PARK GOLF COURSE,2120 TRAVER ROAD,ANN ARBOR,05/12/2015,2,1,5
LINKS AT WHITMORE LAKE,1111 SIX MILE ROAD,WHITMORE LAKE,05/12/2015,4,1,1
LOGAN - AN AMERICAN RESTAURANT,115 W. WASHINGTON STREET,ANN ARBOR,05/07/2015,2,0,5
LOGAN ELEMENTARY,2685 TRAVER ROAD,ANN ARBOR,05/05/2015,0,0,2
LOS AMIGOS FIESTA,4855 WASHTENAW,ANN ARBOR,05/21/2015,2,3,5
LUCKY KITCHEN,1753 PLYMOUTH ROAD,ANN ARBOR,05/29/2015,1,2,7
MADRAS MASALA,328  MAYNARD,ANN ARBOR,05/06/2015,0,1,5
MANI OSTERIA & BAR,341 EAST LIBERTY,ANN ARBOR,05/06/2015,2,1,5
MARK'S MIDTOWN CONEY,529 E. MICHIGAN AVENUE,SALINE,05/26/2015,1,0,6
MASCO - STERLING SERVICES,4600 ARROWHEAD DRIVE,ANN ARBOR,05/05/2015,0,1,3
McDONALD'S #10950,2310 W. STADIUM BLVD,ANN ARBOR,05/05/2015,4,0,7
MELTING POT (THE),309 S. MAIN ST.,ANN ARBOR,05/26/2015,4,4,3
MEZES GREEK GRILL,715 N UNIVERSITY,ANN ARBOR,05/19/2015,1,1,2
MI SERVS FOR BLIND PERS  USPO ANN ARB#4,US PO ANN ARBOR#4(2075 W. STAD,ANN ARBOR,05/05/2015,0,0,0
MILAN MIDDLE SCHOOL,920 NORTH STREET,MILAN,05/28/2015,2,0,1
NEW GRACE APOSTOLIC TEMPLE,2898 PACKARD,ANN ARBOR,05/08/2015,0,0,1
NO THAI! 3,1745 PLYMOUTH RD,ANN ARBOR,05/07/2015,0,0,2
OCED SENIOR NUTRITION PROGRAM,701 W. ELLSWORTH ROAD,ANN ARBOR,05/07/2015,0,0,1
OCED SENIOR NUTRITION PROGRAM,2025 E. CLARK ROAD,YPSILANTI,05/08/2015,0,0,1
